keperluan,kategori
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu keluarga,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
exit clearance,Tamat Kuliah
bertemu dengan orang tua,Bertemu Keluarga
libur natal dan tahun baru,Lainnya
libur semester dan bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
melakukan pjj,Lainnya
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
mengerjakan ta dan bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
acara keluarga,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
libur lebaran,Lainnya
bertemu dengan orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu keluarga,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
exit clearance,Tamat Kuliah
bertemu dengan orang tua,Bertemu Keluarga
libur natal dan tahun baru,Lainnya
libur semester dan bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
melakukan pjj,Lainnya
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
mengerjakan ta dan bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
acara keluarga,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
libur lebaran,Lainnya
bertemu dengan orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu keluarga,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
exit clearance,Tamat Kuliah
bertemu dengan orang tua,Bertemu Keluarga
libur natal dan tahun baru,Lainnya
libur semester dan bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
melakukan pjj,Lainnya
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
mengerjakan ta dan bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
acara keluarga,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
libur lebaran,Lainnya
bertemu dengan orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu keluarga,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
exit clearance,Tamat Kuliah
bertemu dengan orang tua,Bertemu Keluarga
libur natal dan tahun baru,Lainnya
libur semester dan bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
melakukan pjj,Lainnya
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
mengerjakan ta dan bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
acara keluarga,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
libur lebaran,Lainnya
bertemu dengan orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu keluarga,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
exit clearance,Tamat Kuliah
bertemu dengan orang tua,Bertemu Keluarga
libur natal dan tahun baru,Lainnya
libur semester dan bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
melakukan pjj,Lainnya
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
mengerjakan ta dan bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
acara keluarga,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
libur lebaran,Lainnya
bertemu dengan orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu keluarga,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
exit clearance,Tamat Kuliah
bertemu dengan orang tua,Bertemu Keluarga
libur natal dan tahun baru,Lainnya
libur semester dan bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
melakukan pjj,Lainnya
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
mengerjakan ta dan bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
acara keluarga,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
libur lebaran,Lainnya
bertemu dengan orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu keluarga,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
exit clearance,Tamat Kuliah
bertemu dengan orangtua,Bertemu Keluarga
libur natal dan tahun baru,Lainnya
libur uas semester ganjil,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
lock down campus,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
berobat ke rumah sakit bersama orang tua,Bertemu Keluarga
memperbaiki laptop dan bertemu dengan orang tua,Memperbaiki Barang
melakukan rontgen dan berobat bersama dengan orang tua dikarenakan selama minggu mengalami batukbatuk yang tak kunjung sembuh,Pergi ke Klinik
libur paskah bersama keluarga,Bertemu Keluarga
libur idul fitri hijriah,Lainnya
urusan keluarga karena membantu orang tua mempersiapkan partangiangan dirumah,Bertemu Keluarga
membantu merawat orangtua yang sakit,Bertemu Keluarga
merawat orangtua sakit,Bertemu Keluarga
bertemu dengan orang tua,Bertemu Keluarga
membantu merawat orang tua yang sakit,Pergi ke Klinik
menghadiri acara syukuran sidi adik,Lainnya
merawat orangtua yang sakit,Bertemu Keluarga
bertemu dengan orangtua,Bertemu Keluarga
exit clearance,Tamat Kuliah
bertemu dengan orangtua,Bertemu Keluarga
libur natal dan tahun baru,Lainnya
libur uas semester ganjil,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
lock down campus,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
berobat ke rumah sakit bersama orang tua,Bertemu Keluarga
memperbaiki laptop dan bertemu dengan orang tua,Memperbaiki Barang
melakukan rontgen dan berobat bersama dengan orang tua dikarenakan selama minggu mengalami batukbatuk yang tak kunjung sembuh,Pergi ke Klinik
libur paskah bersama keluarga,Bertemu Keluarga
libur idul fitri hijriah,Lainnya
urusan keluarga karena membantu orang tua mempersiapkan partangiangan dirumah,Bertemu Keluarga
membantu merawat orangtua yang sakit,Bertemu Keluarga
merawat orangtua sakit,Bertemu Keluarga
bertemu dengan orang tua,Bertemu Keluarga
membantu merawat orang tua yang sakit,Pergi ke Klinik
menghadiri acara syukuran sidi adik,Lainnya
merawat orangtua yang sakit,Bertemu Keluarga
bertemu dengan orangtua,Bertemu Keluarga
exit clearance,Tamat Kuliah
bertemu dengan orangtua,Bertemu Keluarga
libur natal dan tahun baru,Lainnya
libur uas semester ganjil,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
lock down campus,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
berobat ke rumah sakit bersama orang tua,Bertemu Keluarga
memperbaiki laptop dan bertemu dengan orang tua,Memperbaiki Barang
melakukan rontgen dan berobat bersama dengan orang tua dikarenakan selama minggu mengalami batukbatuk yang tak kunjung sembuh,Pergi ke Klinik
libur paskah bersama keluarga,Bertemu Keluarga
libur idul fitri hijriah,Lainnya
urusan keluarga karena membantu orang tua mempersiapkan partangiangan dirumah,Bertemu Keluarga
membantu merawat orangtua yang sakit,Bertemu Keluarga
merawat orangtua sakit,Bertemu Keluarga
bertemu dengan orang tua,Bertemu Keluarga
membantu merawat orang tua yang sakit,Pergi ke Klinik
menghadiri acara syukuran sidi adik,Lainnya
merawat orangtua yang sakit,Bertemu Keluarga
bertemu dengan orangtua,Bertemu Keluarga
exit clearance,Tamat Kuliah
bertemu dengan orangtua,Bertemu Keluarga
libur natal dan tahun baru,Lainnya
libur uas semester ganjil,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
lock down campus,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
berobat ke rumah sakit bersama orang tua,Bertemu Keluarga
memperbaiki laptop dan bertemu dengan orang tua,Memperbaiki Barang
melakukan rontgen dan berobat bersama dengan orang tua dikarenakan selama minggu mengalami batukbatuk yang tak kunjung sembuh,Pergi ke Klinik
libur paskah bersama keluarga,Bertemu Keluarga
libur idul fitri hijriah,Lainnya
urusan keluarga karena membantu orang tua mempersiapkan partangiangan dirumah,Bertemu Keluarga
membantu merawat orangtua yang sakit,Bertemu Keluarga
merawat orangtua sakit,Bertemu Keluarga
bertemu dengan orang tua,Bertemu Keluarga
membantu merawat orang tua yang sakit,Pergi ke Klinik
menghadiri acara syukuran sidi adik,Lainnya
merawat orangtua yang sakit,Bertemu Keluarga
bertemu dengan orangtua,Bertemu Keluarga
exit clearance,Tamat Kuliah
bertemu dengan orangtua,Bertemu Keluarga
libur natal dan tahun baru,Lainnya
libur uas semester ganjil,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
lock down campus,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
berobat ke rumah sakit bersama orang tua,Bertemu Keluarga
memperbaiki laptop dan bertemu dengan orang tua,Memperbaiki Barang
melakukan rontgen dan berobat bersama dengan orang tua dikarenakan selama minggu mengalami batukbatuk yang tak kunjung sembuh,Pergi ke Klinik
libur paskah bersama keluarga,Bertemu Keluarga
libur idul fitri hijriah,Lainnya
urusan keluarga karena membantu orang tua mempersiapkan partangiangan dirumah,Bertemu Keluarga
membantu merawat orangtua yang sakit,Bertemu Keluarga
merawat orangtua sakit,Bertemu Keluarga
bertemu dengan orang tua,Bertemu Keluarga
membantu merawat orang tua yang sakit,Pergi ke Klinik
menghadiri acara syukuran sidi adik,Lainnya
merawat orangtua yang sakit,Bertemu Keluarga
bertemu dengan orangtua,Bertemu Keluarga
exit clearance,Tamat Kuliah
bertemu dengan orangtua,Bertemu Keluarga
libur natal dan tahun baru,Lainnya
libur uas semester ganjil,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
lock down campus,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
berobat ke rumah sakit bersama orang tua,Bertemu Keluarga
memperbaiki laptop dan bertemu dengan orang tua,Memperbaiki Barang
melakukan rontgen dan berobat bersama dengan orang tua dikarenakan selama minggu mengalami batukbatuk yang tak kunjung sembuh,Pergi ke Klinik
libur paskah bersama keluarga,Bertemu Keluarga
libur idul fitri hijriah,Lainnya
urusan keluarga karena membantu orang tua mempersiapkan partangiangan dirumah,Bertemu Keluarga
membantu merawat orangtua yang sakit,Bertemu Keluarga
merawat orangtua sakit,Bertemu Keluarga
bertemu dengan orang tua,Bertemu Keluarga
membantu merawat orang tua yang sakit,Pergi ke Klinik
menghadiri acara syukuran sidi adik,Lainnya
merawat orangtua yang sakit,Bertemu Keluarga
bertemu dengan orangtua,Bertemu Keluarga
exit clearance,Tamat Kuliah
bertemu dengan orangtua,Bertemu Keluarga
libur natal dan tahun baru,Lainnya
libur uas semester ganjil,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
lock down campus,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
berobat ke rumah sakit bersama orang tua,Bertemu Keluarga
memperbaiki laptop dan bertemu dengan orang tua,Memperbaiki Barang
melakukan rontgen dan berobat bersama dengan orang tua dikarenakan selama minggu mengalami batukbatuk yang tak kunjung sembuh,Pergi ke Klinik
libur paskah bersama keluarga,Bertemu Keluarga
libur idul fitri hijriah,Lainnya
urusan keluarga karena membantu orang tua mempersiapkan partangiangan dirumah,Bertemu Keluarga
membantu merawat orangtua yang sakit,Bertemu Keluarga
merawat orangtua sakit,Bertemu Keluarga
bertemu dengan orang tua,Bertemu Keluarga
membantu merawat orang tua yang sakit,Pergi ke Klinik
menghadiri acara syukuran sidi adik,Lainnya
merawat orangtua yang sakit,Bertemu Keluarga
bertemu dengan orangtua,Bertemu Keluarga
exit clearance,Tamat Kuliah
bertemu dengan orangtua,Bertemu Keluarga
libur natal dan tahun baru,Lainnya
libur uas semester ganjil,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
lock down campus,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
berobat ke rumah sakit bersama orang tua,Bertemu Keluarga
memperbaiki laptop dan bertemu dengan orang tua,Memperbaiki Barang
melakukan rontgen dan berobat bersama dengan orang tua dikarenakan selama minggu mengalami batukbatuk yang tak kunjung sembuh,Pergi ke Klinik
libur paskah bersama keluarga,Bertemu Keluarga
libur idul fitri hijriah,Lainnya
urusan keluarga karena membantu orang tua mempersiapkan partangiangan dirumah,Bertemu Keluarga
membantu merawat orangtua yang sakit,Bertemu Keluarga
merawat orangtua sakit,Bertemu Keluarga
bertemu dengan orang tua,Bertemu Keluarga
membantu merawat orang tua yang sakit,Pergi ke Klinik
menghadiri acara syukuran sidi adik,Lainnya
merawat orangtua yang sakit,Bertemu Keluarga
bertemu dengan orangtua,Bertemu Keluarga
exit clearance,Tamat Kuliah
bertemu dengan orangtua,Bertemu Keluarga
libur natal dan tahun baru,Lainnya
libur uas semester ganjil,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
lock down campus,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
berobat ke rumah sakit bersama orang tua,Bertemu Keluarga
memperbaiki laptop dan bertemu dengan orang tua,Memperbaiki Barang
melakukan rontgen dan berobat bersama dengan orang tua dikarenakan selama minggu mengalami batukbatuk yang tak kunjung sembuh,Pergi ke Klinik
libur paskah bersama keluarga,Bertemu Keluarga
libur idul fitri hijriah,Lainnya
urusan keluarga karena membantu orang tua mempersiapkan partangiangan dirumah,Bertemu Keluarga
membantu merawat orangtua yang sakit,Bertemu Keluarga
merawat orangtua sakit,Bertemu Keluarga
bertemu dengan orang tua,Bertemu Keluarga
membantu merawat orang tua yang sakit,Pergi ke Klinik
menghadiri acara syukuran sidi adik,Lainnya
merawat orangtua yang sakit,Bertemu Keluarga
bertemu dengan orangtua,Bertemu Keluarga
exit clearance,Tamat Kuliah
bertemu dengan orangtua,Bertemu Keluarga
libur natal dan tahun baru,Lainnya
libur uas semester ganjil,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
lock down campus,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
berobat ke rumah sakit bersama orang tua,Bertemu Keluarga
memperbaiki laptop dan bertemu dengan orang tua,Memperbaiki Barang
melakukan rontgen dan berobat bersama dengan orang tua dikarenakan selama minggu mengalami batukbatuk yang tak kunjung sembuh,Pergi ke Klinik
libur paskah bersama keluarga,Bertemu Keluarga
libur idul fitri hijriah,Lainnya
urusan keluarga karena membantu orang tua mempersiapkan partangiangan dirumah,Bertemu Keluarga
membantu merawat orangtua yang sakit,Bertemu Keluarga
merawat orangtua sakit,Bertemu Keluarga
bertemu dengan orang tua,Bertemu Keluarga
membantu merawat orang tua yang sakit,Pergi ke Klinik
menghadiri acara syukuran sidi adik,Lainnya
merawat orangtua yang sakit,Bertemu Keluarga
bertemu dengan orangtua,Bertemu Keluarga
exit clearance,Tamat Kuliah
bertemu dengan orangtua,Bertemu Keluarga
libur natal dan tahun baru,Lainnya
libur uas semester ganjil,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
lock down campus,Lainnya
bertemu dengan orangtua,Bertemu Keluarga
berobat ke rumah sakit bersama orang tua,Bertemu Keluarga
memperbaiki laptop dan bertemu dengan orang tua,Memperbaiki Barang
melakukan rontgen dan berobat bersama dengan orang tua dikarenakan selama minggu mengalami batukbatuk yang tak kunjung sembuh,Pergi ke Klinik
libur paskah bersama keluarga,Bertemu Keluarga
libur idul fitri hijriah,Lainnya
urusan keluarga karena membantu orang tua mempersiapkan partangiangan dirumah,Bertemu Keluarga
membantu merawat orangtua yang sakit,Bertemu Keluarga
merawat orangtua sakit,Bertemu Keluarga
bertemu dengan orang tua,Bertemu Keluarga
membantu merawat orang tua yang sakit,Pergi ke Klinik
menghadiri acara syukuran sidi adik,Lainnya
merawat orangtua yang sakit,Bertemu Keluarga
bertemu dengan orangtua,Bertemu Keluarga
exit clearance,Tamat Kuliah
bertemu orang tua,Bertemu Keluarga
libur natal dan tahun baru,Lainnya
libur uas,Lainnya
bertemu orang tua,Bertemu Keluarga
malam keakraban dengan alumni,Lainnya
bertemu orang tua,Bertemu Keluarga
lockdown,Lainnya
bertemu dengan orang tua,Bertemu Keluarga
bertemu orang tua,Bertemu Keluarga
bertemu dengan orang tua dan libur paskah,Bertemu Keluarga
libur lebaran dan bertemu dengan orang tua,Bertemu Keluarga
bertemu dengan orang tua,Bertemu Keluarga
bertemu dengan orang tua,Bertemu Keluarga
bertemu dengan orang tua dan juga melakukan pengobatan sakit maag,Bertemu Keluarga
bertemu dengan orang tua,Bertemu Keluarga
exit clearance dan kembali pada saat wisuda,Tamat Kuliah
bertemu orang tua,Bertemu Keluarga
libur natal dan tahun baru,Lainnya
libur uas,Lainnya
bertemu orang tua,Bertemu Keluarga
malam keakraban dengan alumni,Lainnya
